 primarytype |    heightrange    |   weightrange    |     hprange      |   attackrange    |   defencerange   | specialattackrange | specialdefencerange |    speedrange    |   avgavgheight    |   avgavgweight   |     avgavghp     |   avgavgattack   |  avgavgdefence   | avgavgspecialattack | avgavgspecialdefence |   avgavgspeed    
 Electric    |  1.03333333333333 | 39.9238095238095 | 22.1090909090909 | 46.4666666666667 | 38.1666666666667 |               20.3 |    23.4583333333333 | 44.7142857142857 | 0.989166666666667 | 33.5687432359307 | 62.7652326839827 | 72.8635281385281 | 63.5894345238095 |    89.8639880952381 |     70.8755546536797 | 87.1130817099567
 Fire        | 0.366666666666667 |            82.74 | 18.4222222222222 | 26.1805555555556 | 17.4444444444444 |                 39 |    19.2222222222222 | 35.2083333333333 |  1.19923611111111 | 66.5710416666667 | 69.5565972222222 | 85.2864583333333 | 67.5434027777778 |           85.621875 |     70.1809027777778 | 74.4482638888889
 Poison      |  19.0833333333333 | 921.035294117647 |             82.5 | 28.3333333333333 | 29.6666666666667 |                 95 |    38.8333333333333 |               93 |  3.64779411764706 | 160.210171568627 | 77.9362745098039 | 75.4865196078431 | 75.3026960784314 |    76.4460784313726 |     74.5049019607843 | 78.7732843137255
 Fighting    | 0.916666666666667 | 168.333333333333 |               41 |            49.75 | 40.5833333333333 |   61.6666666666667 |    28.6666666666667 | 34.8333333333333 |  1.26361607142857 | 73.5126785714286 | 69.5316964285714 | 98.4203869047619 | 71.6116071428571 |    58.0751488095238 |     67.6197916666667 | 69.7916666666667
 Dark        |             4.875 |          871.375 |            170.5 | 56.1666666666667 | 28.6666666666667 |               49.5 |                  32 |               64 |  1.72288461538462 | 146.202692307692 | 87.5933493589744 | 84.2928685897436 | 63.7167467948718 |    75.2956730769231 |     66.8173076923077 | 75.8473557692308
 Grass       |  1.26607142857143 | 53.2016666666667 | 19.9111111111111 |               27 | 23.2974358974359 |   31.3333333333333 |    12.9230769230769 | 17.5769230769231 |  1.02898008241758 | 37.6349343711844 | 67.1941468253968 |  74.771336996337 | 72.0565705128205 |    73.0528846153846 |     69.3503891941392 | 58.9553495115995
 Fairy       |             1.425 |           116.15 |               34 |               50 |             34.5 |                 67 |                  50 |               70 | 0.926574074074074 | 36.9640740740741 | 71.6666666666667 |  63.787037037037 | 76.4657407407407 |    83.4722222222222 |     94.0648148148148 | 68.1944444444444
 Psychic     |  1.96857142857143 |              246 | 29.9666666666667 |             48.2 |             32.2 |   32.8035714285714 |    26.8392857142857 | 50.5714285714286 |   1.3814880952381 | 71.5374255952381 | 72.5635416666667 | 75.8571428571429 | 71.7315476190476 |           98.334375 |     88.9674107142857 |  79.953869047619
 Flying      |              0.45 |             35.3 |             16.5 |             57.5 |             17.5 |                 64 |                  25 |             44.5 |              1.15 | 45.7333333333333 |               70 | 76.3333333333333 |               65 |    80.6666666666667 |     70.8333333333333 | 92.1666666666667
(18 rows)

