pID,Name,GenerationNumber,Species,PrimaryType,Height,Weight,PrimaryAbility,HP,Attack,Defense,SpecialAttack,SpecialDefense,Speed,CatchRate,BaseFriendship,BaseExperience,GrowthRate,PrimaryEggType,EggCycles
53,Alolan Persian,1,Classy Cat  ,Dark,1.1,33.0,Fur Coat,65,60,60,75,65,115,90.0,70.0,154.0,Medium Fast,Field,20.0
54,Psyduck,1,Duck  ,Water,0.8,19.6,Damp,50,52,48,65,50,55,190.0,70.0,64.0,Medium Fast,Field,20.0
55,Golduck,1,Duck  ,Water,1.7,76.6,Damp,80,82,78,95,80,85,75.0,70.0,175.0,Medium Fast,Field,20.0
56,Mankey,1,Pig Monkey  ,Fighting,0.5,28.0,Vital Spirit,40,80,35,35,45,70,190.0,70.0,61.0,Medium Fast,Field,20.0
57,Primeape,1,Pig Monkey  ,Fighting,1.0,32.0,Vital Spirit,65,105,60,60,70,95,75.0,70.0,159.0,Medium Fast,Field,20.0
58,Growlithe,1,Puppy  ,Fire,0.7,19.0,Intimidate,55,70,45,70,50,60,190.0,70.0,70.0,Slow,Field,20.0
59,Arcanine,1,Legendary  ,Fire,1.9,155.0,Intimidate,90,110,80,100,80,95,75.0,70.0,194.0,Slow,Field,20.0
60,Poliwag,1,Tadpole  ,Water,0.6,12.4,Water Absorb,40,50,40,40,40,90,255.0,70.0,60.0,Medium Slow,Water 1,20.0
61,Poliwhirl,1,Tadpole  ,Water,1.0,20.0,Water Absorb,65,65,65,50,50,90,120.0,70.0,135.0,Medium Slow,Water 1,20.0
62,Poliwrath,1,Tadpole  ,Water,1.3,54.0,Water Absorb,90,95,95,70,90,70,45.0,70.0,230.0,Medium Slow,Water 1,20.0
63,Abra,1,Psi  ,Psychic,0.9,19.5,Synchronize,25,20,15,105,55,90,200.0,70.0,62.0,Medium Slow,Human-Like,20.0
64,Kadabra,1,Psi  ,Psychic,1.3,56.5,Synchronize,40,35,30,120,70,105,100.0,70.0,140.0,Medium Slow,Human-Like,20.0
65,Alakazam,1,Psi  ,Psychic,1.5,48.0,Synchronize,55,50,45,135,95,120,50.0,70.0,225.0,Medium Slow,Human-Like,20.0
65,Mega Alakazam,1,Psi  ,Psychic,1.2,48.0,Trace,55,50,65,175,105,150,50.0,70.0,270.0,Medium Slow,Human-Like,20.0
66,Machop,1,Superpower  ,Fighting,0.8,19.5,Guts,70,80,50,35,35,35,180.0,70.0,61.0,Medium Slow,Human-Like,20.0
67,Machoke,1,Superpower  ,Fighting,1.5,70.5,Guts,80,100,70,50,60,45,90.0,70.0,142.0,Medium Slow,Human-Like,20.0
68,Machamp,1,Superpower  ,Fighting,1.6,130.0,Guts,90,130,80,65,85,55,45.0,70.0,227.0,Medium Slow,Human-Like,20.0
69,Bellsprout,1,Flower  ,Grass,0.7,4.0,Chlorophyll,50,75,35,70,30,40,255.0,70.0,60.0,Medium Slow,Grass,20.0
70,Weepinbell,1,Flycatcher  ,Grass,1.0,6.4,Chlorophyll,65,90,50,85,45,55,120.0,70.0,137.0,Medium Slow,Grass,20.0
71,Victreebel,1,Flycatcher  ,Grass,1.7,15.5,Chlorophyll,80,105,65,100,70,70,45.0,70.0,221.0,Medium Slow,Grass,20.0
72,Tentacool,1,Jellyfish  ,Water,0.9,45.5,Clear Body,40,40,35,50,100,70,190.0,70.0,67.0,Slow,Water 3,20.0
73,Tentacruel,1,Jellyfish  ,Water,1.6,55.0,Clear Body,80,70,65,80,120,100,60.0,70.0,180.0,Slow,Water 3,20.0
74,Geodude,1,Rock  ,Rock,0.4,20.0,Rock Head,40,80,100,30,30,20,255.0,70.0,60.0,Medium Slow,Mineral,15.0
74,Alolan Geodude,1,Rock  ,Rock,0.4,20.3,Magnet Pull,40,80,100,30,30,20,255.0,70.0,60.0,Medium Slow,Mineral,15.0
75,Graveler,1,Rock  ,Rock,1.0,105.0,Rock Head,55,95,115,45,45,35,120.0,70.0,137.0,Medium Slow,Mineral,15.0
75,Alolan Graveler,1,Rock  ,Rock,1.0,110.0,Magnet Pull,55,95,115,45,45,35,120.0,70.0,137.0,Medium Slow,Mineral,15.0
76,Golem,1,Megaton  ,Rock,1.4,300.0,Rock Head,80,120,130,55,65,45,45.0,70.0,223.0,Medium Slow,Mineral,15.0
76,Alolan Golem,1,Megaton  ,Rock,1.7,316.0,Magnet Pull,80,120,130,55,65,45,45.0,70.0,223.0,Medium Slow,Mineral,15.0
77,Ponyta,1,Fire Horse  ,Fire,1.0,30.0,Run Away,50,85,55,65,65,90,190.0,70.0,82.0,Medium Fast,Field,20.0
77,Galarian Ponyta,1,Unique Horn  ,Psychic,0.8,24.0,Run Away,50,85,55,65,65,90,,,,Medium Fast,Field,20.0
78,Rapidash,1,Fire Horse  ,Fire,1.7,95.0,Run Away,65,100,70,80,80,105,60.0,70.0,175.0,Medium Fast,Field,20.0
78,Galarian Rapidash,1,Unique Horn  ,Psychic,1.7,80.0,Run Away,65,100,70,80,80,105,,,,Medium Fast,Field,20.0
79,Slowpoke,1,Dopey  ,Water,1.2,36.0,Oblivious,90,65,65,40,40,15,190.0,70.0,63.0,Medium Fast,Monster,20.0
80,Slowbro,1,Hermit Crab  ,Water,1.6,78.5,Oblivious,95,75,110,100,80,30,75.0,70.0,172.0,Medium Fast,Monster,20.0
80,Mega Slowbro,1,Hermit Crab  ,Water,2.0,120.0,Shell Armor,95,75,180,130,80,30,75.0,70.0,207.0,Medium Fast,Monster,20.0
81,Magnemite,1,Magnet  ,Electric,0.3,6.0,Magnet Pull,25,35,70,95,55,45,190.0,70.0,65.0,Medium Fast,Mineral,20.0
82,Magneton,1,Magnet  ,Electric,1.0,60.0,Magnet Pull,50,60,95,120,70,70,60.0,70.0,163.0,Medium Fast,Mineral,20.0
83,Farfetch'd,1,Wild Duck  ,Normal,0.8,15.0,Keen Eye,52,90,55,58,62,60,45.0,70.0,132.0,Medium Fast,Field,20.0
83,Galarian Farfetch'd,1,Wild Duck  ,Fighting,0.8,42.0,Steadfast,52,95,55,58,62,55,,,,Medium Fast,Field,20.0
84,Doduo,1,Twin Bird  ,Normal,1.4,39.2,Run Away,35,85,45,35,35,75,190.0,70.0,62.0,Medium Fast,Flying,20.0
85,Dodrio,1,Triple Bird  ,Normal,1.8,85.2,Run Away,60,110,70,60,60,110,45.0,70.0,165.0,Medium Fast,Flying,20.0
86,Seel,1,Sea Lion  ,Water,1.1,90.0,Thick Fat,65,45,55,45,70,45,190.0,70.0,65.0,Medium Fast,Field,20.0
87,Dewgong,1,Sea Lion  ,Water,1.7,120.0,Thick Fat,90,70,80,70,95,70,75.0,70.0,166.0,Medium Fast,Field,20.0
88,Grimer,1,Sludge  ,Poison,0.9,30.0,Stench,80,80,50,40,50,25,190.0,70.0,65.0,Medium Fast,Amorphous,20.0
88,Alolan Grimer,1,Sludge  ,Poison,0.7,42.0,Poison Touch,80,80,50,40,50,25,190.0,70.0,65.0,Medium Fast,Amorphous,20.0
89,Muk,1,Sludge  ,Poison,1.2,30.0,Stench,105,105,75,65,100,50,75.0,70.0,175.0,Medium Fast,Amorphous,20.0
89,Alolan Muk,1,Sludge  ,Poison,1.0,52.0,Poison Touch,105,105,75,65,100,50,75.0,70.0,175.0,Medium Fast,Amorphous,20.0
90,Shellder,1,Bivalve  ,Water,0.3,4.0,Shell Armor,30,65,100,45,25,40,190.0,70.0,61.0,Slow,Water 3,20.0
91,Cloyster,1,Bivalve  ,Water,1.5,132.5,Shell Armor,50,95,180,85,45,70,60.0,70.0,184.0,Slow,Water 3,20.0
92,Gastly,1,Gas  ,Ghost,1.3,0.1,Levitate,30,35,30,100,35,80,190.0,70.0,62.0,Medium Slow,Amorphous,20.0
93,Haunter,1,Gas  ,Ghost,1.6,0.1,Levitate,45,50,45,115,55,95,90.0,70.0,142.0,Medium Slow,Amorphous,20.0
94,Gengar,1,Shadow  ,Ghost,1.5,40.5,Cursed Body,60,65,60,130,75,110,45.0,70.0,225.0,Medium Slow,Amorphous,20.0
94,Mega Gengar,1,Shadow  ,Ghost,1.4,40.5,Shadow Tag,60,65,80,170,95,130,45.0,70.0,270.0,Medium Slow,Amorphous,20.0
95,Onix,1,Rock Snake  ,Rock,8.8,210.0,Rock Head,35,45,160,30,45,70,45.0,70.0,77.0,Medium Fast,Mineral,25.0
96,Drowzee,1,Hypnosis  ,Psychic,1.0,32.4,Insomnia,60,48,45,43,90,42,190.0,70.0,66.0,Medium Fast,Human-Like,20.0
97,Hypno,1,Hypnosis  ,Psychic,1.6,75.6,Insomnia,85,73,70,73,115,67,75.0,70.0,169.0,Medium Fast,Human-Like,20.0
98,Krabby,1,River Crab  ,Water,0.4,6.5,Hyper Cutter,30,105,90,25,25,50,225.0,70.0,65.0,Medium Fast,Water 3,20.0
99,Kingler,1,Pincer  ,Water,1.3,60.0,Hyper Cutter,55,130,115,50,50,75,60.0,70.0,166.0,Medium Fast,Water 3,20.0
100,Voltorb,1,Ball  ,Electric,0.5,10.4,Soundproof,40,30,50,55,55,100,190.0,70.0,66.0,Medium Fast,Mineral,20.0
101,Electrode,1,Ball  ,Electric,1.2,66.6,Soundproof,60,50,70,80,80,150,60.0,70.0,172.0,Medium Fast,Mineral,20.0
102,Exeggcute,1,Egg  ,Grass,0.4,2.5,Chlorophyll,60,40,80,60,45,40,90.0,70.0,65.0,Slow,Grass,20.0
103,Exeggutor,1,Coconut  ,Grass,2.0,120.0,Chlorophyll,95,95,85,125,75,55,45.0,70.0,186.0,Slow,Grass,20.0
103,Alolan Exeggutor,1,Coconut  ,Grass,10.9,415.6,Frisk,95,105,85,125,75,45,45.0,70.0,186.0,Slow,Grass,20.0
104,Cubone,1,Lonely  ,Ground,0.4,6.5,Rock Head,50,50,95,40,50,35,190.0,70.0,64.0,Medium Fast,Monster,20.0
105,Marowak,1,Bone Keeper  ,Ground,1.0,45.0,Rock Head,60,80,110,50,80,45,75.0,70.0,149.0,Medium Fast,Monster,20.0
105,Alolan Marowak,1,Bone Keeper  ,Fire,1.0,34.0,Cursed Body,60,80,110,50,80,45,75.0,70.0,149.0,Medium Fast,Monster,20.0
106,Hitmonlee,1,Kicking  ,Fighting,1.5,49.8,Limber,50,120,53,35,110,87,45.0,70.0,159.0,Medium Fast,Human-Like,25.0
107,Hitmonchan,1,Punching  ,Fighting,1.4,50.2,Keen Eye,50,105,79,35,110,76,45.0,70.0,159.0,Medium Fast,Human-Like,25.0
108,Lickitung,1,Licking  ,Normal,1.2,65.5,Own Tempo,90,55,75,60,75,30,45.0,70.0,77.0,Medium Fast,Monster,20.0
109,Koffing,1,Poison Gas  ,Poison,0.6,1.0,Levitate,40,65,95,60,45,35,190.0,70.0,68.0,Medium Fast,Amorphous,20.0
110,Weezing,1,Poison Gas  ,Poison,1.2,9.5,Levitate,65,90,120,85,70,60,60.0,70.0,172.0,Medium Fast,Amorphous,20.0
110,Galarian Weezing,1,Poison Gas  ,Poison,3.0,16.0,Levitate,65,90,120,85,70,60,,,,Medium Fast,Amorphous,20.0
111,Rhyhorn,1,Spikes  ,Ground,1.0,115.0,Lightning Rod,80,85,95,30,30,25,120.0,70.0,69.0,Slow,Field,20.0
112,Rhydon,1,Drill  ,Ground,1.9,120.0,Lightning Rod,105,130,120,45,45,40,60.0,70.0,170.0,Slow,Field,20.0
113,Chansey,1,Egg  ,Normal,1.1,34.6,Natural Cure,250,5,5,35,105,50,30.0,140.0,395.0,Fast,Fairy,40.0
114,Tangela,1,Vine  ,Grass,1.0,35.0,Chlorophyll,65,55,115,100,40,60,45.0,70.0,87.0,Medium Fast,Grass,20.0
115,Kangaskhan,1,Parent  ,Normal,2.2,80.0,Early Bird,105,95,80,40,80,90,45.0,70.0,172.0,Medium Fast,Monster,20.0
115,Mega Kangaskhan,1,Parent  ,Normal,2.2,100.0,Parental Bond,105,125,100,60,100,100,45.0,70.0,207.0,Medium Fast,Monster,20.0
116,Horsea,1,Dragon  ,Water,0.4,8.0,Swift Swim,30,40,70,70,25,60,225.0,70.0,59.0,Medium Fast,Dragon,20.0
117,Seadra,1,Dragon  ,Water,1.2,25.0,Poison Point,55,65,95,95,45,85,75.0,70.0,154.0,Medium Fast,Dragon,20.0
118,Goldeen,1,Goldfish  ,Water,0.6,15.0,Swift Swim,45,67,60,35,50,63,225.0,70.0,64.0,Medium Fast,Water 2,20.0
119,Seaking,1,Goldfish  ,Water,1.3,39.0,Swift Swim,80,92,65,65,80,68,60.0,70.0,158.0,Medium Fast,Water 2,20.0
120,Staryu,1,Star Shape  ,Water,0.8,34.5,Illuminate,30,45,55,70,55,85,225.0,70.0,68.0,Slow,Water 3,20.0
121,Starmie,1,Mysterious  ,Water,1.1,80.0,Illuminate,60,75,85,100,85,115,60.0,70.0,182.0,Slow,Water 3,20.0
122,Mr. Mime,1,Barrier  ,Psychic,1.3,54.5,Soundproof,40,45,65,100,120,90,45.0,70.0,161.0,Medium Fast,Human-Like,25.0
122,Galarian Mr. Mime,1,Dancing  ,Psychic,1.4,56.8,Vital Spirit,50,65,65,90,90,100,,,,Medium Fast,Human-Like,25.0
123,Scyther,1,Mantis  ,Bug,1.5,56.0,Swarm,70,110,80,55,80,105,45.0,70.0,100.0,Medium Fast,Bug,25.0
124,Jynx,1,Human Shape  ,Ice,1.4,40.6,Oblivious,65,50,35,115,95,95,45.0,70.0,159.0,Medium Fast,Human-Like,25.0
125,Electabuzz,1,Electric  ,Electric,1.1,30.0,Static,65,83,57,95,85,105,45.0,70.0,172.0,Medium Fast,Human-Like,25.0
126,Magmar,1,Spitfire  ,Fire,1.3,44.5,Flame Body,65,95,57,100,85,93,45.0,70.0,173.0,Medium Fast,Human-Like,25.0
127,Pinsir,1,Stag Beetle  ,Bug,1.5,55.0,Hyper Cutter,65,125,100,55,70,85,45.0,70.0,175.0,Slow,Bug,25.0
127,Mega Pinsir,1,Stag Beetle  ,Bug,1.7,59.0,Aerilate,65,155,120,65,90,105,45.0,70.0,210.0,Slow,Bug,25.0
128,Tauros,1,Wild Bull  ,Normal,1.4,88.4,Intimidate,75,100,95,40,70,110,45.0,70.0,172.0,Slow,Field,20.0
129,Magikarp,1,Fish  ,Water,0.9,10.0,Swift Swim,20,10,55,15,20,80,255.0,70.0,40.0,Slow,Dragon,5.0
130,Gyarados,1,Atrocious  ,Water,6.5,235.0,Intimidate,95,125,79,60,100,81,45.0,70.0,189.0,Slow,Dragon,5.0
130,Mega Gyarados,1,Atrocious  ,Water,6.5,305.0,Mold Breaker,95,155,109,70,130,81,45.0,70.0,224.0,Slow,Dragon,5.0
131,Lapras,1,Transport  ,Water,2.5,220.0,Water Absorb,130,85,80,85,95,60,45.0,70.0,187.0,Slow,Monster,40.0
132,Ditto,1,Transform  ,Normal,0.3,4.0,Limber,48,48,48,48,48,48,35.0,70.0,101.0,Medium Fast,Ditto,20.0
133,Eevee,1,Evolution  ,Normal,0.3,6.5,Run Away,55,55,50,45,65,55,45.0,70.0,65.0,Medium Fast,Field,35.0
133,Partner Eevee,1,Evolution  ,Normal,0.3,6.5,,65,75,70,65,85,75,45.0,70.0,65.0,Medium Fast,,35.0
134,Vaporeon,1,Bubble Jet  ,Water,1.0,29.0,Water Absorb,130,65,60,110,95,65,45.0,70.0,184.0,Medium Fast,Field,35.0
135,Jolteon,1,Lightning  ,Electric,0.8,24.5,Volt Absorb,65,65,60,110,95,130,45.0,70.0,184.0,Medium Fast,Field,35.0
136,Flareon,1,Flame  ,Fire,0.9,25.0,Flash Fire,65,130,60,95,110,65,45.0,70.0,184.0,Medium Fast,Field,35.0
137,Porygon,1,Virtual  ,Normal,0.8,36.5,Trace,65,60,70,85,75,40,45.0,70.0,79.0,Medium Fast,Mineral,20.0
138,Omanyte,1,Spiral  ,Rock,0.4,7.5,Swift Swim,35,40,100,90,55,35,45.0,70.0,71.0,Medium Fast,Water 1,30.0
139,Omastar,1,Spiral  ,Rock,1.0,35.0,Swift Swim,70,60,125,115,70,55,45.0,70.0,173.0,Medium Fast,Water 1,30.0
140,Kabuto,1,Shellfish  ,Rock,0.5,11.5,Swift Swim,30,80,90,55,45,55,45.0,70.0,71.0,Medium Fast,Water 1,30.0
141,Kabutops,1,Shellfish  ,Rock,1.3,40.5,Swift Swim,60,115,105,65,70,80,45.0,70.0,173.0,Medium Fast,Water 1,30.0
142,Aerodactyl,1,Fossil  ,Rock,1.8,59.0,Rock Head,80,105,65,60,75,130,45.0,70.0,180.0,Slow,Flying,35.0
142,Mega Aerodactyl,1,Fossil  ,Rock,2.1,79.0,Tough Claws,80,135,85,70,95,150,45.0,70.0,215.0,Slow,Flying,35.0
143,Snorlax,1,Sleeping  ,Normal,2.1,460.0,Immunity,160,110,65,65,110,30,25.0,70.0,189.0,Slow,Monster,40.0
144,Articuno,1,Freeze  ,Ice,1.7,55.4,Pressure,90,85,100,95,125,85,3.0,35.0,261.0,Slow,Undiscovered,80.0
145,Zapdos,1,Electric  ,Electric,1.6,52.6,Pressure,90,90,85,125,90,100,3.0,35.0,261.0,Slow,Undiscovered,80.0
